UniqueCount	AmbigCount
62	982
2737	0
9440	0
8986	0
2556	0
12021	0
8309	0
2950	16
6664	16
3627	0
31250	0
17409	0
3692	0
834	0
858	0
7103	0
12512	0
6152	0
27695	0
25268	0
6485	0
1389	0
8954	0
2258	0
4529	14
11120	14
2348	0
6559	0
4614	0
7357	0
4585	0
3154	0
650	0
2060	0
25020	0
7023	0
8484	0
23533	2
6176	2
8278	0
9214	0
2269	0
15215	0
18078	0
19355	0
6701	0
10130	0
12993	0
17011	0
10066	0
13967	0
9606	0
19700	0
8144	0
7225	0
3582	0
1397	0
587	0
875	0
13320	0
5769	0
4337	0
2560	0
8596	0
1097	0
3144	72
5903	72
12883	0
8994	151
15079	151
3366	0
1908	4917
4643	4917
5289	0
22105	0
4972	0
8062	0
2825	0
8505	0
2602	3
3877	3
25185	0
12307	0
841	0
1015	0
2692	0
9309	0
12286	0
4122	0
8107	0
1736	0
4799	0
4385	0
5969	0
523	0
15448	0
9747	0
58398	0
5495	0
4794	0
12546	0
19095	0
14060	0
21089	0
2224	0
18806	0
11100	0
4322	0
8512	0
3125	0
6886	514
7267	514
4130	0
3925	0
10921	0
9330	0
12103	0
9150	0
9372	0
3712	0
10610	0
14932	0
16223	0
6062	0
2833	0
1977	0
6803	0
4390	0
4409	0
5483	0
737	0
3736	0
19171	0
2849	0
13012	0
20096	0
16443	0
8139	0
1712	0
2125	0
3271	0
4736	0
4457	0
28708	0
5472	0
1017	0
16983	0
8478	0
8673	0
27633	0
26942	0
36172	0
22092	0
9772	0
23476	0
25936	0
5116	0
4324	0
4317	0
5145	0
814	0
4965	0
6785	0
36914	0
8594	0
18996	0
9193	0
31773	0
28107	0
31152	0
14214	0
9272	0
6483	0
47291	0
15204	0
1610	0
15091	0
810	0
1811	0
3706	0
26352	0
2519	0
44772	0
24217	0
42379	0
5949	0
12512	0
3402	0
43923	0
32227	0
17991	0
2734	0
16772	0
13687	0
4637	0
3869	33
11439	33
45037	0
2622	0
11397	0
7192	0
6977	0
2144	0
3329	0
10100	0
5161	0
22278	0
17521	0
7366	0
2946	0
31959	0
1394	0
8647	20
2721	20
958	0
4101	0
4676	0
2746	0
2232	0
2927	0
12846	0
8884	0
37888	0
27581	0
5605	0
9111	0
941	0
4344	0
7315	0
11273	0
13225	0
12224	82
15322	82
4424	0
2621	0
6357	0
1557	0
4571	0
4181	0
10459	0
5894	0
945	0
11532	0
15160	0
22943	0
6520	0
6912	0
2158	0
34846	0
13031	0
22143	0
12017	0
23574	0
1702	0
4400	0
1721	0
3923	0
5265	0
14744	0
28315	0
5526	0
12334	0
25029	0
19434	0
7447	0
2534	0
2685	0
8849	0
1033	0
1881	0
8668	0
1501	0
370	9371
11679	0
24872	0
3048	0
15719	0
6645	0
7634	0
11855	21
14105	21
21819	0
11525	0
9400	0
6967	0
2419	0
3022	0
5459	0
25	5342
465	9991
41837	0
1031	0
3178	0
5767	0
12965	0
4954	0
3391	0
1886	0
1380	133
2525	133
6581	132
4157	132
1521	0
7221	0
4022	0
908	0
1125	0
1004	0
625	0
662	0
407	30
612	30
5537	0
627	0
398	0
63	0
456	0
226	0
1294	0
2351	0
1917	0
5259	0
3199	0
1111	0
1700	0
2124	0
6690	0
61601	79
8131	79
4061	0
1764	0
1893	0
1024	0
322	1
596	0
625	0
954	0
1779	0
302	0
393	0
421	0
1202	0
672	0
8958	0
15472	0
1432	0
17675	0
3904	0
23660	0
4156	0
30231	0
18164	0
6328	0
10634	0
11076	0
17963	0
3433	0
11280	0
24169	0
7695	0
13490	0
1645	555
1513	555
1117	0
4371	0
10180	0
4877	0
9013	0
3398	0
20501	0
16120	0
38630	0
3157	0
74368	0
2402	0
1447	0
7377	0
2504	0
2545	0
2791	0
813	0
35412	0
6318	0
16234	0
15567	0
15890	0
5828	0
9756	0
60976	0
23751	0
9536	0
4175	0
1100	0
6268	0
3352	0
13676	0
10171	0
54919	0
66	4
831	1030
1784	93
28613	0
16266	0
13865	0
12510	0
5110	0
10774	0
16452	0
12693	0
7095	0
7428	0
12387	0
2103	0
7914	0
2635	0
10667	0
9241	0
77669	4
5045	0
6371	0
10555	0
22179	0
1592	0
6195	0
5644	0
3946	0
3044	0
1347	0
2283	0
4390	0
3765	58
6825	58
5965	0
5754	0
23069	0
2373	0
4350	275
4385	275
4426	336
69371	336
3743	0
5205	0
9746	0
5230	8046
13703	43325
268	404
4365	404
7536	0
7115	0
4258	0
12635	0
21812	0
7861	0
13058	0
8973	0
2767	0
