UniqueCount	AmbigCount
7672	0
3291	0
7766	0
3926	0
5544	0
837	0
11140	0
12329	0
8552	0
17062	0
6468	0
7194	0
20559	0
16239	580
12962	580
5335	0
6799	0
6516	0
6226	0
4460	174
3854	174
3204	0
12007	0
13532	0
2763	0
4961	0
1264	0
2830	0
2402	0
2790	0
4643	0
645	0
1521	0
1056	0
955	0
655	0
844	0
1189	0
1403	0
432	0
552	0
3225	0
2699	0
2610	0
1452	0
1179	62
468	62
2092	183
1162	183
915	10
962	10
1474	0
234	0
12563	0
17776	0
61961	0
673	0
948	0
3563	0
3008	0
2176	0
2337	0
0	6864
215	15
264	0
8825	0
2714	0
11094	0
5746	0
2381	0
3910	0
6950	0
555	0
7305	0
2562	0
4401	0
4263	0
6659	0
5279	6865
4486	7850
169	0
3568	0
2652	0
2313	0
7704	0
154	0
306	0
2221	0
288	0
9152	0
327	0
12	856
1610	0
1771	0
385	0
662	7
274	7
0	3436
117	8138
76	0
16769	0
4211	0
5781	0
4533	0
7193	0
8823	0
38830	0
352	3
5077	0
1805	0
3231	0
5425	0
2020	0
7539	0
4945	0
6478	0
3610	0
1262	0
4577	0
1134	6173
6083	494
2877	0
22	0
1137	0
432	0
850	0
5491	0
991	0
3798	0
2942	0
3463	0
1711	118
5103	118
5401	0
882	0
5562	0
2490	0
32	13
170	12
739	0
2503	0
1467	0
195	0
343	0
15487	0
5443	0
319	213
148	0
739	190
153	25
790	0
2754	0
32649	28460
2245	0
1386	0
83	0
349	0
1847	0
3250	0
3924	0
1192	0
9389	0
6797	0
1651	25
443	25
665	152
705	152
1409	0
8498	0
4212	0
1098	0
1522	0
758	0
230	58
468	58
1058	0
1014	0
564	0
159	190
21	2283
1012	0
535	0
20	0
494	0
338	0
358	0
3283	0
159	0
3022	0
226	0
408	0
1355	0
13	0
238	0
220	0
1187	0
4484	0
1828	149
1934	149
1278	0
640	0
807	0
447	0
4565	0
1794	0
85	8566
874	0
467	494
45	1863
3967	3
39	103
1601	0
673	0
2121	0
2379	166
2298	0
3417	0
2886	0
2510	166
906	0
9783	0
22	0
241	0
84	0
104	0
558	0
9	830
3462	0
11960	0
8693	0
1592	0
11567	0
6839	0
2589	12
4928	12
3928	0
31746	0
17700	0
3235	0
1475	0
1401	0
8032	0
14868	0
5935	0
16019	0
18227	0
7258	0
1649	0
4104	0
2235	0
4095	17
8194	17
2888	0
9427	0
7153	0
11685	0
4696	0
1679	0
585	0
1733	0
25028	0
9845	0
7268	0
24468	6
7509	6
6809	0
6851	0
1793	0
12578	0
13232	0
18758	0
9633	0
11372	0
13676	0
17060	0
9642	0
12452	0
12662	0
22397	0
7032	0
6295	0
4409	0
1496	0
624	0
906	0
11784	0
6880	0
4472	0
2939	0
12665	0
1198	0
3338	50
4493	50
13657	0
7957	145
14690	145
6759	0
4389	7051
4961	7051
5669	0
18823	0
4199	0
10388	0
1898	0
4891	0
1325	0
1423	0
13897	0
6180	0
808	0
985	0
3665	0
9460	0
13384	0
5335	0
5945	1
1594	1
4446	0
4860	0
5354	0
441	0
17181	0
9794	0
34424	0
2725	0
2750	0
