UniqueCount	AmbigCount
11481	0
5774	0
18107	0
9148	0
8211	0
1999	0
25305	0
32768	0
17610	0
50740	0
20628	0
26737	0
62623	0
39054	1577
38580	1577
14637	0
23459	0
17934	0
19715	0
7274	320
6027	320
6699	0
20829	0
7356	0
4612	0
15	0
2463	0
1371	0
972	0
5087	0
7104	0
1756	0
4110	0
1929	0
1862	0
1719	0
1100	0
1755	0
2039	0
1227	0
1308	0
4162	0
6972	0
7956	0
8459	0
5798	258
2218	258
5373	316
3485	316
2865	12
4313	12
4826	0
996	0
34046	0
27350	0
76083	0
3097	0
5212	0
7103	0
6197	0
4212	0
4952	0
0	14609
557	106
619	0
22667	0
9557	0
15721	0
15108	0
6614	0
8321	0
16485	0
975	0
16567	0
5804	0
7907	0
9772	0
12963	0
12569	14609
12485	19023
261	0
7845	0
5646	0
5378	0
15621	0
489	0
670	0
4566	0
564	0
14471	0
840	0
22	3021
2221	0
3844	0
758	0
1288	21
478	21
0	15235
281	16696
194	0
35749	0
10943	0
15353	0
12873	0
19512	0
16101	0
151106	0
1261	0
11082	0
5459	0
10387	0
15387	0
6533	0
18152	0
12509	0
14685	0
8470	0
2792	0
10399	0
2515	14844
11319	893
4672	0
114	0
3360	0
1486	0
2780	0
15332	0
1460	0
9401	0
4795	0
6603	0
5600	419
14369	419
13257	0
2033	0
11472	0
4746	0
13	45
435	45
1092	0
5969	0
3949	0
543	0
1153	0
24205	0
11895	0
647	991
288	0
804	220
411	43
919	0
4538	0
63535	41251
4050	0
2468	0
210	0
881	0
2616	0
6456	0
10447	0
1756	0
14383	0
12216	0
3289	64
955	64
1170	105
1038	105
1792	0
18151	0
9751	0
1340	0
1270	0
1043	0
228	87
458	87
1412	0
1439	0
689	0
111	220
206	6525
2793	0
1196	0
81	0
921	0
848	0
828	0
5375	0
247	0
6015	0
482	0
771	0
3085	0
131	0
970	0
789	0
3081	0
12112	0
3711	292
5109	292
3302	0
1522	2
1853	0
650	0
9090	0
4680	0
167	18163
1633	0
890	893
115	4332
18547	0
94	347
3784	0
2407	0
5617	0
5093	252
6501	0
8767	0
7581	0
5964	252
1800	0
21532	0
135	0
666	0
302	0
336	0
1218	0
132	2893
5831	0
15371	0
23688	0
3898	0
21584	0
12405	0
5662	55
12793	55
9355	0
50153	0
35616	0
7545	0
1311	0
2597	0
12594	0
28901	0
15473	0
38606	0
36131	0
17503	0
4079	0
17118	0
5556	0
8848	57
16904	57
3136	0
11171	0
6672	0
13427	0
10424	0
5610	0
1748	0
4403	0
48984	0
19195	0
15688	0
40039	5
14152	5
14362	0
13430	0
4117	0
25015	0
22603	0
29031	0
16938	0
17249	0
19380	0
27128	0
14967	0
23756	0
15500	0
35662	0
19225	0
10968	0
10657	0
2387	0
1312	0
1816	0
22248	0
11617	0
7326	0
5134	0
22215	0
2058	0
7147	72
14069	72
22176	0
13124	216
26020	216
5666	0
4112	10331
6522	10331
10353	0
43173	0
6201	0
19102	0
4193	0
10877	0
3553	14
5283	14
44057	0
18396	0
1783	0
1488	0
6634	0
15440	0
22534	0
7374	0
14325	9
5595	9
9469	0
8510	0
12565	0
727	0
31252	0
20583	0
81129	0
9828	0
7946	0
35703	0
39611	0
28868	0
34997	0
7002	0
39269	0
19763	0
9071	0
14019	0
4353	0
15734	924
10769	924
4685	0
4155	0
17082	0
15341	0
18647	0
15604	0
13381	0
8793	0
18113	0
29921	0
26209	0
8480	0
4376	0
4572	0
9596	0
6580	0
9981	0
10952	0
1561	0
8305	0
35234	0
4226	0
24536	0
29869	0
28155	0
14792	0
3625	0
4817	0
6655	0
8511	0
6547	0
51021	0
13482	0
2710	0
29325	0
13435	0
19297	0
45812	0
39869	0
28183	0
21467	0
6500	0
18881	0
18505	0
6542	0
8696	0
8589	0
10721	0
2986	0
7991	0
11612	0
58544	0
14536	0
23144	0
10227	0
42117	0
45995	0
68763	0
26597	0
18756	0
13452	0
72438	0
29515	0
3583	0
25144	0
2379	0
5359	0
10761	0
46317	0
3706	0
93882	0
52021	0
62406	0
9065	0
26281	0
7332	0
68192	0
52383	0
39210	0
3977	0
28720	0
20438	0
9620	0
8318	33
20736	33
80537	0
7533	0
31133	0
15528	0
18516	0
4564	0
6749	0
13898	0
8153	0
28716	0
30052	0
